source	target	distance_nm
ALUA	TXUC	647.52
ALUA	TXVA	492.96
ALUA	UTLD	1271.84
ALUA	UTMC	1272.91
ALUA	UTPC	1272.91
ALUA	VACH	553.46
ALUA	VAFH	567.02
ALUA	VAHD	517.65
ALUA	VAMC	517.65
ALUA	VAMV	517.65
ALUA	VANG	553.46
ALUA	VAUV	487.84
ALUA	VTMC	912.28
ALUA	WACH	1808.28
ALUA	WASH	1619.87
ALUA	WASM	1808.28
ALUA	WAUW	1808.28
ALUA	WAVM	1808.28
ALUA	WICH	574.48
ALUA	WISE	574.48
ALUA	WISL	574.48
ALUA	WIUW	586.97
ALUA	WVCA	384.01
ALUA	WVWU	493.71
ALVA	ALCH	0.00
ALVA	ALUA	0.00
ALVA	ARBH	282.74
ALVA	ARCH	282.74
ALVA	ARUA	282.74
ALVA	AZCH	1263.79
ALVA	AZGS	1263.79
ALVA	AZMC	1263.79
ALVA	AZSJ	1263.79
ALVA	AZUA	1220.08
ALVA	CACH	1523.75
ALVA	CACL	1564.77
ALVA	CACS	1564.77
ALVA	CAGH	1527.99
ALVA	CAHP	1550.99
ALVA	CAIM	1547.60
ALVA	CALA	1571.45
ALVA	CALL	1516.31
ALVA	CAMB	1747.75
ALVA	CAPC	1736.37
ALVA	CAPM	1747.75
ALVA	CASD	1527.99
ALVA	CASF	1747.75
ALVA	CASG	1702.77
ALVA	CASH	1523.75
ALVA	CASJ	1547.60
ALVA	CASM	1702.77
ALVA	CASU	1736.93
ALVA	CAUC	1564.77
ALVA	CAUH	1564.77
ALVA	COCH	944.39
ALVA	COPM	951.14
ALVA	COSL	951.14
ALVA	COUC	944.39
ALVA	CTHH	832.86
ALVA	CTYN	809.58
ALVA	DCCH	572.79
ALVA	DCGU	572.79
ALVA	DCGW	572.79
ALVA	DCWH	572.79
ALVA	DCWR	573.32
ALVA	DEAI	658.55
ALVA	DECC	648.48
ALVA	FLAC	407.22
ALVA	FLCC	556.89
ALVA	FLFH	409.23
ALVA	FLHM	393.70
ALVA	FLJD	569.11
ALVA	FLJM	579.33
ALVA	FLLM	395.90
ALVA	FLMR	569.11
ALVA	FLSH	187.50
ALVA	FLSL	325.00
ALVA	FLTG	403.11
ALVA	FLUF	326.48
ALVA	GAEH	121.49
ALVA	GAEM	121.49
ALVA	GAMC	241.99
ALVA	GAPH	121.49
ALVA	HIQM	3791.35
ALVA	IAIM	583.31
ALVA	IAIV	538.41
ALVA	IAVA	538.41
ALVA	ILCH	494.39
ALVA	ILCM	503.72
ALVA	ILLU	504.83
ALVA	ILMM	401.42
ALVA	ILNM	503.72
ALVA	ILPL	503.72
ALVA	ILSF	451.32
ALVA	ILUC	503.72
ALVA	ILUI	503.72
ALVA	ILVA	503.30
ALVA	INIM	376.82
ALVA	INSV	376.82
ALVA	KSUK	506.20
ALVA	KYJH	289.02
ALVA	KYKC	289.02
ALVA	KYUK	294.32
ALVA	LACH	270.95
ALVA	LAOF	270.95
ALVA	LATU	272.86
ALVA	LAWK	355.18
